run_index,class,filepath
57,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1024.jpg
58,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1025.jpg
59,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1026.jpg
60,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1027.jpg
61,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_103.jpg
62,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1030.jpg
63,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1031.jpg
64,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1032.jpg
65,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1033.jpg
66,Normal,/content/drive/MyDrive/Cataract/Data/Test/Normal/cat_0_1035.jpg
67,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/000c3b0a6a.jpg
68,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/001c2203a4.jpg
69,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/002c57eb72.jpg
70,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00a258a357.jpg
71,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00a3969131.jpg
72,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00a5324fe8.jpg
73,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00ab643520.jpg
74,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00bdc2d18a.jpg
75,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00cf330f1d.jpg
76,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00d4263b19.jpg
77,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00dd586fe7.jpg
78,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00df26e2ac.jpg
79,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00ed35e838.jpg
80,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00eda07739.jpg
81,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00f66867e6.jpg
82,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/00fce13f41.jpg
83,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01a38447ad.jpg
84,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01b8d9568a.jpg
85,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01ba86f373.jpg
86,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01c8f6c64b.jpg
87,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01dbccf36f.jpg
88,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01e577eea5.jpg
89,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01e889cf43.jpg
90,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01eaebcbec.jpg
91,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01ec1c5873.jpg
92,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01ee118b53.jpg
93,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01ef25ec7d.jpg
94,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/01fe6cca57.jpg
95,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/02a017ceef.jpg
96,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/02a23f13f0.jpg
97,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/02a38ee57e.jpg
98,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/02aac1d589.jpg
99,Not Eye,/content/drive/MyDrive/Cataract/Data/Test/Not Eye/02af2134f3.jpg
